metric_name,metric_category,definition,formula,required_input_fields,preferred_source,fallback_source,frequency,unit,interpretation,limitations
return_1y,Return,"Total price return over the most recent 12-month period, including dividends if adjusted close prices are used","(P_end / P_start) - 1 where the window is exactly 252 trading days","adjusted close price; 1 year of daily data",yfinance adjusted close,Annual report / investor relations,Annual,%,"Higher is better; compare vs STOXX 600 benchmark","Point-in-time; sensitive to start/end date; does not adjust for risk"
return_3y,Return,"Annualised total price return over 3 years","((P_end / P_start)^(1/3)) - 1","adjusted close price; 3 years of daily data",yfinance adjusted close,Annual report / investor relations,Annual,%,"Captures a medium-term cycle; less sensitive to single-year anomaly","Requires 3 years of price history; may include COVID distortion"
return_5y,Return,"Annualised total price return over 5 years","((P_end / P_start)^(1/5)) - 1","adjusted close price; 5 years of daily data",yfinance adjusted close,Annual report / investor relations,Annual,%,"Best measure of long-run compounding ability","Requires 5 years of price history; older data may reflect different business model"
annualized_volatility,Risk,"Standard deviation of daily log-returns annualised by sqrt(252)","std(log(P_t/P_{t-1})) * sqrt(252)","adjusted close price; minimum 1 year of daily data",yfinance adjusted close,N/A,Annual,%,"Lower is better for risk-adjusted returns; >40% triggers volatility exclusion in this pipeline","Does not capture tail risk or skewness; historical vol may not predict future vol"
max_drawdown,Risk,"Maximum peak-to-trough percentage decline over the measurement window","(trough / peak) - 1; peak = rolling max; trough = rolling min after peak","adjusted close price; minimum 1 year of daily data",yfinance adjusted close,N/A,Annual,%,"Measures worst-case loss scenario; more negative = higher risk","Depends heavily on measurement window; drawdown may not be fully recovered"
sharpe_ratio,Risk-adjusted return,"Excess return per unit of total risk; risk-free rate assumed 0% in this pipeline","(annualised return - risk_free_rate) / annualised_volatility; risk_free_rate = 0","annual_return_pct; annualized_volatility_pct",Calculated from price data,N/A,Annual,ratio,"Higher is better; >0.5 considered acceptable; <0 triggers exclusion in this pipeline","Assumes normal return distribution; zero risk-free rate assumption is a simplification"
beta_vs_benchmark,Risk,"Sensitivity of stock returns to benchmark (STOXX Europe 600) movements; proxy EXW1.DE","cov(r_stock, r_benchmark) / var(r_benchmark)","adjusted close price for stock; adjusted close price for EXW1.DE (benchmark); minimum 1 year overlap",yfinance adjusted close for both,N/A,Annual,ratio,"Beta >1.5 triggers exclusion in this pipeline; beta ~1 = market-neutral; beta <1 = defensive","Benchmark proxy EXW1.DE may not perfectly replicate STOXX 600; beta is backwards-looking"
revenue_latest,Profitability,Most recently reported annual revenue (total net sales or equivalent),"Direct from financial statements — no formula; use reported figure","Annual report income statement; yfinance .info trailing_revenue",yfinance .info (trailingRevenue or totalRevenue),Annual report PDF / investor presentation,Annual,EUR millions (convert if reported in other currency),"Baseline for margin calculations and growth analysis","Currency conversion required for non-EUR reporters; restatements may affect comparability"
revenue_growth_3y,Profitability,"Compound annual growth rate of revenue over 3 years","(Revenue_t / Revenue_{t-3})^(1/3) - 1","Revenue for current year and 3 years prior",yfinance .info,Annual report,Annual,%,"Positive = growing top line; >5% considered healthy in most sectors","Acquisitions can inflate growth; organic growth preferred but harder to source"
ebit_margin_latest,Profitability,"EBIT as a percentage of revenue; measures operating profitability before interest and tax","EBIT / Revenue","EBIT and Revenue from income statement",yfinance .info (ebitda - D&A approximation) or annual report,Annual report PDF,Annual,%,"Higher is better; sector benchmarking required; <5% may indicate margin pressure","Not applicable to banks or insurers — use sector-specific equivalents; EBIT may not be separately reported"
ebitda_margin_latest,Profitability,"EBITDA as a percentage of revenue; adds back depreciation and amortisation","EBITDA / Revenue = (EBIT + D&A) / Revenue","EBITDA (reported or EBIT + D&A) and Revenue",yfinance .info (ebitda),Annual report PDF,Annual,%,"Proxy for operating cash generation; commonly used for EV multiples","Excludes capex — can flatter asset-heavy businesses; not a GAAP measure"
net_margin_latest,Profitability,"Net income as a percentage of revenue; measures bottom-line profitability after all costs","Net Income / Revenue","Net Income and Revenue from income statement",yfinance .info (netIncomeToCommon / totalRevenue),Annual report PDF,Annual,%,"Higher is better; negative = loss-making; cyclical businesses will vary","Affected by non-recurring items; tax jurisdictions vary across portfolio"
net_debt,Balance sheet,"Total financial debt minus cash and equivalents; a negative value means net cash position","Total Debt - Cash and Cash Equivalents","totalDebt; totalCash from yfinance .info or balance sheet",yfinance .info,Annual report balance sheet,Annual,EUR millions,"Net cash is a positive sign; high net debt relative to EBITDA indicates leverage risk","Does not capture off-balance-sheet liabilities (leases under IFRS 16 may or may not be included)"
net_debt_to_ebitda,Balance sheet resilience,"Leverage ratio showing how many years of EBITDA would be needed to repay net debt","Net Debt / EBITDA","net_debt; EBITDA",Calculated from yfinance .info,Annual report,Annual,ratio,"<2x considered low leverage; >4x considered high; negative = net cash","EBITDA denominator can be distorted by non-cash items; negative EBITDA makes ratio meaningless"
interest_coverage,Balance sheet resilience,"EBIT relative to interest expense; measures ability to service debt","EBIT / Interest Expense","EBIT; interest expense from income statement",yfinance .info (operatingIncome / interestExpense),Annual report,Annual,ratio,">3x generally safe; <1.5x signals financial stress; not applicable to banks/insurers,"Interest expense can be difficult to separate from other financial costs in condensed statements"
free_cash_flow_margin,Cash generation,"Free cash flow as a percentage of revenue; measures cash conversion of profits","(Operating Cash Flow - Capex) / Revenue","operatingCashflow; capitalExpenditures; totalRevenue from yfinance .info",yfinance .info,Annual report cash flow statement,Annual,%,"Positive FCF margin = self-funding; negative = cash-burning; high FCF margin = capital-light business","Capex classification varies; maintenance vs growth capex not always separated"
pe_ratio,Valuation,"Price-to-earnings ratio; stock price divided by earnings per share","Market Cap / Net Income (or Share Price / EPS)","Market cap or share price; net income or EPS",yfinance .info (trailingPE or forwardPE),Financial data terminal,Point-in-time,ratio,"Lower = cheaper relative to earnings; >30x considered expensive in most sectors; negative if loss-making","Highly sensitive to earnings cyclicality; negative earnings make ratio meaningless; use EV/EBITDA as backup"
ev_ebitda,Valuation,"Enterprise value to EBITDA; most common cross-sector valuation multiple","(Market Cap + Net Debt) / EBITDA","Market cap; net_debt; EBITDA",yfinance .info (enterpriseToEbitda),Financial data terminal / annual report,Point-in-time,ratio,"<10x often considered fair value; >20x considered expensive; sector-specific benchmarks required","Not meaningful for negative EBITDA; sector norms vary significantly"
ev_sales,Valuation,"Enterprise value to revenue; useful when margins are low or negative","(Market Cap + Net Debt) / Revenue","Market cap; net_debt; Revenue",yfinance .info (enterpriseToRevenue),Financial data terminal / annual report,Point-in-time,ratio,"Lower = cheaper relative to revenue; useful for growth companies without positive earnings","Less informative for mature profitable businesses; heavily influenced by sector capital intensity"
dividend_yield,Return / Income,"Annual dividends per share as a percentage of current share price","Annual DPS / Current Share Price","dividendRate or dividendYield from yfinance .info",yfinance .info,Annual report / company IR,Annual,%,"Higher yield can indicate income generation or value; very high yield may signal distress","Zero yield for growth companies is not negative; yield changes with share price"
financial_quality_score,Composite,"Composite score (0–100) combining return profile, risk profile, profitability, balance sheet, and valuation. Higher = better.","Weighted average of sub-scores: Return 25%, Risk 25%, Profitability 25%, Balance sheet 15%, Valuation 10%. All sub-scores normalised to 0-100 within universe.","All above metrics required; missing metrics reduce confidence and trigger flag","Calculated in financial_scoring_template.py",N/A,Annual,0-100 scale,"Scores are relative within this portfolio universe, not absolute","Score is a tool for ranking within this universe only; not a recommendation; missing data degrades accuracy"
financial_risk_flag,Risk assessment,"Qualitative summary of financial risk level based on leverage, volatility, coverage, and drawdown","LOW if: volatility <25%, net debt/EBITDA <2x, Sharpe >0.5, coverage >3x. HIGH if any exclusion threshold breached. MEDIUM otherwise.","annualized_volatility; net_debt_to_ebitda; sharpe_ratio; interest_coverage",Calculated,N/A,Annual,LOW / MEDIUM / HIGH / UNKNOWN,"HIGH flag does not automatically exclude — triggers human review","Rules are simplified; human judgement required for final classification"
valuation_flag,Valuation assessment,"Qualitative valuation assessment relative to sector medians","CHEAP if EV/EBITDA and P/E both below sector median. EXPENSIVE if both above 1.5x sector median. FAIR otherwise. UNKNOWN if data missing.","pe_ratio; ev_ebitda; sector comparables",Calculated with sector benchmarks,N/A,Annual,CHEAP / FAIR / EXPENSIVE / UNKNOWN,"Flags for human review only — valuation is not an exclusion criterion in this pipeline","Sector comparables required; not yet implemented automatically — human review needed"
data_confidence,Data quality,"Overall confidence in the financial data for this company. Reflects data completeness, recency, and consistency.","HIGH: all key metrics present and sourced from primary data. MEDIUM: some metrics missing or from secondary source. LOW: significant gaps or sector metric adjustment required.","All above metrics",Assessment of data completeness,N/A,Annual,HIGH / MEDIUM / LOW,"LOW confidence does not prevent inclusion — triggers human verification requirement","Confidence reflects data availability, not financial quality"
