Sector-capped rank,Rank,factset_name,SASB Sector,in_house_z,in_house_pct,E pillar,S pillar,G pillar,Truvalue Rating,Sustainalytics Band,Sustainalytics Risk,ISS Descriptor,Watchlist,Watchlist reason,Ticker,Exchange
1,1,Raiffeisen Bank International AG,Financials,0.7890705684910246,100.0,1.0,-0.1258848794660244,1.047491814614098,Average,Low,17.1,Medium,False,,RBI-AT,Vienna
2,2,Alfa Laval AB,Resource Transformation,0.648460087753851,99.57805907172995,1.414523568063978,-0.3702114754453051,0.0508019960364107,Average,Medium,24.2,Good,False,,ALFA-SE,OMX Nordic Stockholm
3,3,Norsk Hydro ASA,Extractives & Minerals Processing,0.6298747031730955,99.15611814345992,0.927732840293461,-0.1300062911454005,0.6400318041848169,Below Average,Low,13.5,Good,True,Truvalue=Below Average,NHY-NO,Oslo
4,4,Addtech AB Class B,Resource Transformation,0.6171674217761322,98.73417721518987,1.609653987515581,-0.7475880447782315,-0.1271398767533741,Average,Medium,19.65,Medium,False,,ADDT.B-SE,OMX Nordic Stockholm
5,5,Aegon Ltd.,Financials,0.5401256340064947,98.31223628691984,1.0,-0.5875920185935747,0.5254801257506989,Average,Low,14.8,Medium,False,,AGN-NL,Euronext Amsterdam
6,6,AIB Group plc,Financials,0.5257474586788465,97.8902953586498,1.0,-0.4336896388843912,0.3749512881857494,Below Average,Low,13.17,Medium,True,Truvalue=Below Average,A5G-IE,Euronext Dublin
7,7,Lloyds Banking Group plc,Financials,0.5215511535314873,97.46835443037976,1.0,-0.3475043062472486,0.3035067159364565,Average,Low,12.4,Good,False,,LLOY-GB,London
8,8,SBM Offshore NV,Extractives & Minerals Processing,0.5029388109485831,97.0464135021097,1.0,0.2171415159348561,-0.1349649741279605,Average,Low,19.1,Medium,False,,SBMO-NL,Euronext Amsterdam
9,9,Zurich Insurance Group Ltd,Financials,0.4860496112490852,96.62447257383964,1.0,-0.5568115426517379,0.324706399264776,Average,Low,14.8,Good,False,,ZURN-CH,SIX Swiss
10,10,NatWest Group Plc,Financials,0.484989152706588,96.20253164556962,1.0,-0.6005505989650879,0.3503309083320187,Average,Low,13.0,Good,False,,NWG-GB,London
11,21,Schneider Electric SE,Resource Transformation,0.4184063760084872,91.56118143459916,0.8400177366771752,0.3806163413583128,-0.2590858686725431,Average,Negligible,7.1,Good,False,,SU-FR,Euronext Paris
12,34,ABB Ltd.,Resource Transformation,0.333300151299424,86.07594936708861,0.5094303198296449,0.2473367002596371,0.0970588377755802,Average,Low,17.8,Good,False,,ABBN-CH,SIX Swiss
13,35,Swiss Prime Site AG,Infrastructure,0.331561509744561,85.65400843881856,0.39984878769215,0.2629908004385286,0.2634631860359345,Above Average,Low,11.7,Medium,False,,SPSN-CH,SIX Swiss
14,36,UCB S.A.,Health Care,0.3228087203448372,85.23206751054853,0.9941904468577868,-0.2768499498626897,-0.3963883770383938,Average,Low,13.7,Good,False,,UCB-BE,Euronext Brussels
15,37,Logitech,Technology & Communications,0.3222951672359937,84.81012658227847,0.5908192368174668,-0.3576419428090224,0.3280464579635493,Leader,Low,11.2,Good,False,,LOGN-CH,SIX Swiss
16,39,Rentokil Initial plc,Services,0.3205105762971347,83.96624472573839,1.0,-0.7965128794059824,-0.0672894927388957,Average,Low,13.9,Good,False,,RTO-GB,London
17,40,Klepierre SA,Infrastructure,0.3114092308878128,83.54430379746836,0.8950707889973105,0.2565706788351219,-0.6248009979262228,Average,Negligible,6.3,Good,False,,LI-FR,Euronext Paris
18,41,Arcadis NV,Infrastructure,0.3034581062246457,83.12236286919831,0.334156832226663,0.2867036715026692,0.2634631860359345,Average,Low,15.8,Medium,False,,ARCAD-NL,Euronext Amsterdam
19,45,L'Oreal S.A.,Consumer Goods,0.2856205576830747,81.43459915611815,0.6373792832435352,0.1065329584271479,-0.1812522520804083,Average,Low,17.0,Good,False,,OR-FR,Euronext Paris
20,46,Nexans SA,Resource Transformation,0.2806228674935787,81.0126582278481,1.0,0.1394606505442854,-0.8242308753842611,Average,Medium,22.6,Good,False,,NEX-FR,Euronext Paris
21,48,Wartsila Oyj Abp,Resource Transformation,0.2723757542543536,80.16877637130801,0.500468648983983,-0.0348811078515597,0.0970588377755802,Average,Medium,23.36,Medium,False,,WRT1V-FI,OMX Nordic Helsinki
22,58,AstraZeneca PLC,Health Care,0.2516423327921353,75.9493670886076,0.3957864173121893,-0.0860506515328507,0.236530848142036,Average,Low,18.04,Good,False,,AZN-GB,London
23,61,"MERLIN Properties SOCIMI, S.A.",Infrastructure,0.2462750704159839,74.68354430379746,1.122757925222263,-0.1519825141089383,-0.9490246312445332,Above Average,Negligible,9.89,Good,False,,MRL-ES,Madrid
24,65,E.ON SE,Infrastructure,0.2372109067531796,72.9957805907173,0.2976551393913359,0.0467219062336569,0.2634631860359345,Average,Low,17.1,Good,False,,EOAN-DE,Xetra
25,66,Sweco AB Class B,Infrastructure,0.2330490605242557,72.57383966244726,0.2254027412768623,-0.5021709652038472,0.7359396097553134,Average,Medium,22.07,Medium,False,,SWEC.B-SE,OMX Nordic Stockholm
26,68,Galenica AG,Health Care,0.2299694636606219,71.72995780590718,0.3826522487028086,0.1674252684193224,0.0171942854178437,Average,Low,12.3,Medium,False,,GALE-CH,SIX Swiss
27,72,"Industria de Diseno Textil, S.A.",Consumer Goods,0.2098209110045886,70.042194092827,0.8153293136488342,-0.4808481024703025,-0.3389137510858931,Below Average,Low,10.8,Good,True,Truvalue=Below Average,ITX-ES,Madrid
28,73,Orion Oyj Class B,Health Care,0.1989863689948414,69.62025316455697,1.0,-0.6029765922910663,-0.6013943751564842,Average,Medium,20.4,Good,False,,ORNBV-FI,OMX Nordic Helsinki
29,74,Benefit Systems,Services,0.1968498366765832,69.19831223628692,1.0,-0.0157508166170839,-1.0,Average,Low,13.32,Medium,False,,BFT-PL,Warsaw
30,78,Ipsen SA,Health Care,0.1681224405405086,67.51054852320675,0.859475716522915,-0.2567580080112263,-0.7008793870623453,Average,Medium,21.92,Medium,False,,IPN-FR,Euronext Paris
31,79,Next plc,Consumer Goods,0.1669190664266716,67.08860759493672,0.4627513179613908,-0.573303842958657,0.1673472534590254,Average,Low,16.84,Medium,False,,NXT-GB,London
32,82,Swedish Orphan Biovitrum AB,Health Care,0.1519989413421956,65.82278481012658,1.0,-1.116188547791963,-0.4158778303313725,Laggard,Low,19.0,Good,True,Truvalue=Laggard,SOBI-SE,OMX Nordic Stockholm
33,84,Tele2 AB Class B,Technology & Communications,0.14478592158261,64.9789029535865,0.6382462395239734,-0.0671011516574052,-0.5363898928263189,Average,Low,18.12,Good,False,,TEL2.B-SE,OMX Nordic Stockholm
34,86,Moncler SpA,Consumer Goods,0.1212881727039412,64.13502109704642,0.3279945327063225,-0.5662120674098343,0.2351110661091561,Average,Negligible,8.5,Good,False,,MONC-IT,Milan
35,89,ASML Holding NV,Technology & Communications,0.0921886994100468,62.86919831223629,0.6361299182044412,-1.047676321794113,-0.0544699844445036,Below Average,Negligible,8.7,Good,True,Truvalue=Below Average,ASML-NL,Euronext Amsterdam
36,92,MITIE Group PLC,Services,0.0518930903314786,61.60337552742617,0.5529723362946289,-0.4704761705444186,-0.4349928123565069,Average,Low,12.22,Good,False,,MTO-GB,London
37,93,Publicis Groupe SA,Services,0.051496960953425,61.18143459915611,0.3093258733172654,-0.3327539944624516,-0.1220505893757243,Average,Negligible,9.1,Good,False,,PUB-FR,Euronext Paris
38,97,AIXTRON SE,Technology & Communications,0.0276277208806612,59.49367088607595,0.5,-0.7107181296427092,-0.2674288439693231,Below Average,Low,17.7,Medium,True,Truvalue=Below Average,AIXA-DE,Xetra
39,99,Vallourec SA,Extractives & Minerals Processing,0.0049284477634583,58.64978902953587,1.039964391232925,-1.059726626531736,-1.010361408488857,Above Average,Medium,21.02,Good,False,,VK-FR,Euronext Paris
40,104,Subsea 7 S.A.,Extractives & Minerals Processing,-0.0317670553101745,55.69620253164557,0.8183536630764687,-0.9404097880604412,-0.8428730974544022,Average,Low,18.6,Medium,False,,SUBC-NO,Oslo
