variable,dtype,source,pct_missing,confidence,data_type
rc,int64,yfinance / calculated,0.0,High,observed
idBbGlobal,str,yfinance / calculated,0.0,High,observed
idBbUnique,str,yfinance / calculated,0.0,High,observed
idBbCompany,int64,yfinance / calculated,0.0,High,observed
idBbGlobalCompany,str,yfinance / calculated,0.0,High,observed
idBbGlobalCompanyName,str,equityBicsV2,0.0,High,reported
idBbSecNumDes,str,yfinance / calculated,0.0,High,observed
ticker,str,equityBicsV2,0.0,High,reported
exchCode,str,yfinance / calculated,0.0,High,observed
idIsin,str,equityBicsV2,0.0,High,reported
idCusip,float64,yfinance / calculated,99.6,Low,observed
idSedol1,str,yfinance / calculated,0.0,High,observed
securityTyp,str,yfinance / calculated,0.0,High,observed
securityTyp2,str,yfinance / calculated,0.0,High,observed
classificationLevelCode1,int64,yfinance / calculated,0.0,High,observed
classificationLevelName1,str,equityBicsV2,0.0,High,reported
classificationLevelCode2,int64,yfinance / calculated,0.0,High,observed
classificationLevelName2,str,equityBicsV2,0.0,High,reported
classificationLevelCode3,int64,yfinance / calculated,0.0,High,observed
classificationLevelName3,str,equityBicsV2,0.0,High,reported
classificationLevelCode4,int64,yfinance / calculated,0.0,High,observed
classificationLevelName4,str,equityBicsV2,0.0,High,reported
classificationLevelCode5,float64,yfinance / calculated,49.5,Low,observed
classificationLevelName5,str,equityBicsV2,49.5,Low,reported
classificationLevelCode6,float64,yfinance / calculated,87.1,Low,observed
classificationLevelName6,str,equityBicsV2,87.1,Low,reported
classificationLevelCode7,float64,yfinance / calculated,98.2,Low,observed
classificationLevelName7,str,equityBicsV2,98.2,Low,reported
classificationScheme,str,yfinance / calculated,0.0,High,observed
rank,int64,yfinance / calculated,0.0,High,observed
company,str,yfinance / calculated,0.0,High,observed
return_5y_pct,float64,yfinance / calculated,100.0,Low,observed
return_10y_pct,float64,yfinance / calculated,100.0,Low,observed
bb_ticker,str,equityBicsV2,0.0,High,reported
yf_ticker,str,equityBicsV2,0.0,High,reported
excluded,bool,yfinance / calculated,0.0,High,observed
latestPeriodEndCsr,str,yfinance / calculated,1.4,Medium,observed
esgDisclosureScore,float64,esgEnvironmentalSocial,5.0,Medium,reported
socialDisclosureScore,float64,esgEnvironmentalSocial,5.0,Medium,reported
environDisclosureScore,float64,yfinance / calculated,5.0,Medium,observed
directCo2Emissions,float64,esgEnvironmentalSocial,80.6,Low,reported
indirectCo2Emissions,float64,esgEnvironmentalSocial,92.1,Low,reported
totalCo2Emissions,float64,esgEnvironmentalSocial,89.2,Low,reported
totalGhgEmissions,float64,esgEnvironmentalSocial,19.0,Medium,reported
scp3BusinessTravelEmissions,float64,esgEnvironmentalSocial,46.2,Low,reported
gasFlaring,float64,yfinance / calculated,96.1,Low,observed
emissionReduction,object,esgEnvironmentalSocial,3.9,Medium,reported
climateChgProds,object,yfinance / calculated,4.3,Medium,observed
climateChgPolicy,object,yfinance / calculated,3.9,Medium,observed
percentOfDisclosure,float64,yfinance / calculated,86.7,Low,observed
scopeOfDisclosure,float64,esgEnvironmentalSocial,64.9,Low,reported
scope1_emissions_tco2e,float64,esgEnvironmentalSocial,15.8,Medium,reported
ghgScope2,float64,esgEnvironmentalSocial,20.4,Low,reported
ghgScope3,float64,esgEnvironmentalSocial,23.7,Low,reported
climateChgOpportunities,object,yfinance / calculated,4.3,Medium,observed
climateRisks,object,yfinance / calculated,3.9,Medium,observed
methaneEmissions,float64,esgEnvironmentalSocial,87.1,Low,reported
dirPfcEmissionsInCo2Equiv,float64,esgEnvironmentalSocial,98.2,Low,reported
carbonPerUnitOfProd,float64,esgEnvironmentalSocial,89.2,Low,reported
carbon_intensity_tco2e_per_eur_m_revenue,float64,esgEnvironmentalSocial,89.2,Low,reported
totalGhgCo2Emissions,float64,esgEnvironmentalSocial,12.5,Medium,reported
scopeGhgCo2Emissions1,float64,esgEnvironmentalSocial,10.0,Medium,reported
scopeGhgCo2Emissions2,float64,esgEnvironmentalSocial,14.7,Medium,reported
totGhgCo2EmIntensPerSales,float64,esgEnvironmentalSocial,12.5,Medium,reported
scopeGhgCo2EmIntensPerSles1,float64,esgEnvironmentalSocial,10.0,Medium,reported
scopeGhgCo2EmIntensPerSles2,float64,esgEnvironmentalSocial,14.7,Medium,reported
totGhgCo2EmIntensPerEnrgy,float64,esgEnvironmentalSocial,18.3,Medium,reported
totGhgCo2EmIntensPerEmp,float64,esgEnvironmentalSocial,12.5,Medium,reported
totGhgCo2EmIntensPerAst,float64,esgEnvironmentalSocial,12.5,Medium,reported
totGhgCo2EmIntPerGrFxdAst,float64,esgEnvironmentalSocial,44.1,Low,reported
totGhgCo2EmIntPerNtFxdAst,float64,esgEnvironmentalSocial,13.6,Medium,reported
embeddedCarbonTotalReserves,float64,esgEnvironmentalSocial,96.8,Low,reported
ghgIntensityPerSales,float64,esgEnvironmentalSocial,19.0,Medium,reported
ghgIntensityPerEmployee,float64,esgEnvironmentalSocial,19.0,Medium,reported
co2IntensityPerEmployee,float64,yfinance / calculated,89.2,Low,observed
ghgIntensityPerAssets,float64,esgEnvironmentalSocial,19.0,Medium,reported
co2IntensityPerAssets,float64,yfinance / calculated,89.2,Low,observed
ghgScopeIntensityPerSales1,float64,esgEnvironmentalSocial,15.8,Medium,reported
ghgScopeIntensityPerSales2,float64,esgEnvironmentalSocial,20.4,Low,reported
travelEmissionsPerSales,float64,esgEnvironmentalSocial,46.2,Low,reported
ghgIntensityPerRpm,float64,esgEnvironmentalSocial,99.6,Low,reported
odsEmissions,float64,esgEnvironmentalSocial,95.0,Low,reported
directSf6Emissions,float64,esgEnvironmentalSocial,93.5,Low,reported
dirMethaneEmInCo2Equiv,float64,yfinance / calculated,87.5,Low,observed
dirHfcEmissionsInCo2Equiv,float64,esgEnvironmentalSocial,93.2,Low,reported
dirSf6EmissionsInCo2Equiv,float64,esgEnvironmentalSocial,93.9,Low,reported
noxEmissions,float64,esgEnvironmentalSocial,75.6,Low,reported
so2Emissions,float64,esgEnvironmentalSocial,87.8,Low,reported
vocEmissions,float64,esgEnvironmentalSocial,84.2,Low,reported
carbonMonoxideEmissions,float64,esgEnvironmentalSocial,97.5,Low,reported
particulateEmissions,float64,esgEnvironmentalSocial,84.6,Low,reported
sulphurOxideEmissions,float64,esgEnvironmentalSocial,88.5,Low,reported
directNitrousOxideEmissions,float64,esgEnvironmentalSocial,90.7,Low,reported
dirN2oEmInCo2Equiv,float64,yfinance / calculated,90.7,Low,observed
carbonOffsets,float64,esgEnvironmentalSocial,92.5,Low,reported
noxEmissionsPerSales,float64,esgEnvironmentalSocial,75.6,Low,reported
soxEmissionsPerSles,float64,esgEnvironmentalSocial,77.1,Low,reported
energyConsumption,float64,esgEnvironmentalSocial,13.6,Medium,reported
renewable_energy_pct,float64,esgEnvironmentalSocial,44.1,Low,reported
energyEfficPolicy,object,esgEnvironmentalSocial,3.9,Medium,reported
electricityUsed,float64,yfinance / calculated,25.1,Low,observed
coalUsed,float64,yfinance / calculated,90.7,Low,observed
natGasUsed,float64,yfinance / calculated,52.7,Low,observed
oilDieselUsed,float64,yfinance / calculated,52.0,Low,observed
purchasedElectricity,float64,yfinance / calculated,97.5,Low,observed
purchasedElecTotRenewables,float64,yfinance / calculated,99.6,Low,observed
nuclearPctEnergy,float64,esgEnvironmentalSocial,97.5,Low,reported
solarPctEnergy,float64,esgEnvironmentalSocial,95.7,Low,reported
totalPowerGenerated,float64,yfinance / calculated,92.8,Low,observed
wasteEnergyProduction,float64,esgEnvironmentalSocial,98.9,Low,reported
coalEnergyProduction,float64,esgEnvironmentalSocial,96.4,Low,reported
hydroEnergyProduction,float64,esgEnvironmentalSocial,94.6,Low,reported
windEnergyProduction,float64,esgEnvironmentalSocial,94.6,Low,reported
solarEnergyProduction,float64,esgEnvironmentalSocial,95.0,Low,reported
biomassEnergyProduction,float64,esgEnvironmentalSocial,97.1,Low,reported
totalRenewablesEnergyProd,float64,esgEnvironmentalSocial,92.5,Low,reported
fossilFuelsEnergyProduction,float64,esgEnvironmentalSocial,95.3,Low,reported
fossilFuelsPctEnergyCapacity,float64,esgEnvironmentalSocial,95.0,Low,reported
nuclearPctEnergyCapacity,float64,esgEnvironmentalSocial,97.5,Low,reported
totRenewablesPctEnergyCapacity,float64,esgEnvironmentalSocial,94.6,Low,reported
electricityGenCapacityTotMw,float64,yfinance / calculated,93.9,Low,observed
renewableElectricityTargetPol,object,yfinance / calculated,3.9,Medium,observed
energyPerUnitProduction,float64,esgEnvironmentalSocial,91.8,Low,reported
energyIntensityPerSales,float64,esgEnvironmentalSocial,13.6,Medium,reported
energyIntensityPerEbitda,float64,esgEnvironmentalSocial,38.0,Low,reported
energyIntensityPerEmployee,float64,esgEnvironmentalSocial,13.6,Medium,reported
energyIntensityPerAssets,float64,esgEnvironmentalSocial,13.6,Medium,reported
fuelConsumptionPerRpm,float64,yfinance / calculated,100.0,Low,observed
totalWaterUse,float64,esgEnvironmentalSocial,50.2,Low,reported
pctWaterRecycled,float64,esgEnvironmentalSocial,93.9,Low,reported
dischargeToWater,float64,esgEnvironmentalSocial,92.8,Low,reported
totalWaterDischarged,float64,esgEnvironmentalSocial,77.8,Low,reported
waterPerUnitOfProd,float64,esgEnvironmentalSocial,94.6,Low,reported
municipalWaterUse,float64,esgEnvironmentalSocial,70.3,Low,reported
totalWaterRecycled,float64,esgEnvironmentalSocial,91.8,Low,reported
codOfDischarges,float64,yfinance / calculated,94.6,Low,observed
bodOfDischarges,float64,yfinance / calculated,98.6,Low,observed
waterPolicy,object,esgEnvironmentalSocial,4.3,Medium,reported
water_withdrawal_m3,float64,esgEnvironmentalSocial,46.6,Low,reported
processWaterUse,float64,esgEnvironmentalSocial,98.2,Low,reported
surfaceWaterWithdrawals,float64,esgEnvironmentalSocial,79.9,Low,reported
groundwaterWithdrawals,float64,esgEnvironmentalSocial,77.8,Low,reported
saltWaterWithdrawals,float64,esgEnvironmentalSocial,90.7,Low,reported
reclaimedWaterUse,float64,esgEnvironmentalSocial,94.6,Low,reported
coolingWaterInflow,float64,esgEnvironmentalSocial,96.1,Low,reported
coolingWaterOutflow,float64,esgEnvironmentalSocial,97.5,Low,reported
waterDischargePct,float64,esgEnvironmentalSocial,93.5,Low,reported
waterUseWithdrawal,float64,esgEnvironmentalSocial,46.6,Low,reported
h2oUseWthdrlIntensSales,float64,yfinance / calculated,46.6,Low,observed
h2oUseWthdrlIntensEmpl,float64,yfinance / calculated,46.6,Low,observed
h2oUseWthdrlIntensAssets,float64,yfinance / calculated,46.6,Low,observed
waterIntensityPerSales,float64,esgEnvironmentalSocial,50.2,Low,reported
waterIntensityPerEmployee,float64,esgEnvironmentalSocial,50.2,Low,reported
waterIntensityPerAssets,float64,esgEnvironmentalSocial,50.2,Low,reported
waterUsageEfficiencyRt,float64,esgEnvironmentalSocial,79.9,Low,reported
waterStressExposurePct,float64,esgEnvironmentalSocial,84.9,Low,reported
hazardousWaste,float64,yfinance / calculated,55.6,Low,observed
totalWaste,float64,yfinance / calculated,35.1,Low,observed
wasteRecycled,float64,yfinance / calculated,52.0,Low,observed
paperConsumption,float64,yfinance / calculated,76.0,Low,observed
rawMatUsed,float64,yfinance / calculated,87.8,Low,observed
pctRecycledMaterials,float64,yfinance / calculated,95.3,Low,observed
wasteReduction,object,yfinance / calculated,3.9,Medium,observed
sustainPackaging,object,yfinance / calculated,3.9,Medium,observed
wasteSentToLandfills,float64,yfinance / calculated,70.6,Low,observed
paperRecycled,float64,yfinance / calculated,91.4,Low,observed
miningOverburden,float64,yfinance / calculated,98.2,Low,observed
tailingsWaste,float64,yfinance / calculated,97.8,Low,observed
pctRawMaterialSustainSrc,float64,yfinance / calculated,97.1,Low,observed
wasteIntensityPerEmployee,float64,yfinance / calculated,35.1,Low,observed
wasteGeneratedPerAssets,float64,yfinance / calculated,35.1,Low,observed
wasteGeneratedPerSales,float64,yfinance / calculated,35.1,Low,observed
paperConsumptionPerSales,float64,yfinance / calculated,76.0,Low,observed
numberSpills,float64,yfinance / calculated,92.5,Low,observed
numEnvironFines,float64,yfinance / calculated,77.4,Low,observed
environFinesAmt,float64,yfinance / calculated,77.8,Low,observed
isoSites14001,float64,yfinance / calculated,84.6,Low,observed
greenBuilding,object,legalEntityEuTaxonomy,4.3,Medium,reported
environQualMgt,object,yfinance / calculated,4.3,Medium,observed
investmentsInSustainability,float64,yfinance / calculated,92.1,Low,observed
amountOfSpills,float64,yfinance / calculated,93.2,Low,observed
pctSitesCertified,float64,yfinance / calculated,79.6,Low,observed
biodiversityPolicy,object,esgGovernance,3.9,Medium,reported
hydrocarbonSpills,float64,esgEnvironmentalSocial,95.7,Low,reported
environSupplyMgt,object,yfinance / calculated,3.9,Medium,observed
numberEmployeesCsr,float64,yfinance / calculated,3.9,Medium,observed
numberOfPartTimeEmployees,float64,yfinance / calculated,44.4,Low,observed
numberOfTemporaryEmployees,float64,yfinance / calculated,42.7,Low,observed
employee_turnover_pct,float64,yfinance / calculated,30.1,Low,observed
pctEmployeesUnionized,float64,yfinance / calculated,48.4,Low,observed
humanRightsPolicy,object,yfinance / calculated,3.9,Medium,observed
trainingPolicy,object,yfinance / calculated,3.9,Medium,observed
fairRemunerationPolicy,object,yfinance / calculated,4.3,Medium,observed
employeeTrainingCost,float64,yfinance / calculated,74.6,Low,observed
totHrsSpentByFirmEmpTrain,float64,yfinance / calculated,38.0,Low,observed
policyAgainstChildLabor,object,yfinance / calculated,3.9,Medium,observed
trainingSpendPerEmployee,float64,yfinance / calculated,74.6,Low,observed
genderPayGapBreakout,object,yfinance / calculated,4.7,Medium,observed
women_on_board_pct,float64,esgGovernance,40.5,Low,reported
women_in_workforce_pct,float64,yfinance / calculated,10.0,Medium,observed
pctMinorityMgt,float64,yfinance / calculated,98.6,Low,observed
pctMinorityEmployees,float64,yfinance / calculated,95.0,Low,observed
equalOpportunityPolicy,object,yfinance / calculated,3.9,Medium,observed
employeeAverageAge,float64,yfinance / calculated,76.3,Low,observed
pctDisabledInWorkforce,float64,yfinance / calculated,81.7,Low,observed
womenManagementToEmplRatio,float64,yfinance / calculated,43.0,Low,observed
customerComplaints,float64,yfinance / calculated,87.1,Low,observed
intellectualPptyRghtsProtPol,object,yfinance / calculated,4.3,Medium,observed
qualityAssuranceAndRecallPol,object,yfinance / calculated,3.9,Medium,observed
consumerDataProtectionPolicy,object,yfinance / calculated,3.9,Medium,observed
communitySpendPctPretaxProfit,float64,yfinance / calculated,61.6,Low,observed
communitySpendPctEbitda,float64,yfinance / calculated,75.3,Low,observed
communitySpendPctEquity,float64,yfinance / calculated,60.9,Low,observed
suppliersAudited,float64,esgGovernance,90.0,Low,reported
supplierAuditsConducted,float64,esgGovernance,86.0,Low,reported
socialSupplyChainMgmt,object,esgEnvironmentalSocial,3.9,Medium,reported
supplierFacilitiesAudited,float64,esgGovernance,97.1,Low,reported
susSupGdlEncEsgAreaPubDis,object,esgEnvironmentalSocial,3.9,Medium,reported
workAccidentsEmployees,float64,yfinance / calculated,62.0,Low,observed
lostTimeAccidents,float64,yfinance / calculated,85.3,Low,observed
lostTimePerEmployee,float64,yfinance / calculated,85.3,Low,observed
fatalitiesContractors,float64,yfinance / calculated,69.5,Low,observed
fatalitiesEmployees,float64,yfinance / calculated,47.7,Low,observed
fatalitiesTotal,float64,yfinance / calculated,66.3,Low,observed
healthSafetyPolicy,object,yfinance / calculated,3.9,Medium,observed
lostTimeIncidentRate,float64,yfinance / calculated,63.4,Low,observed
work_related_injury_rate,float64,yfinance / calculated,54.5,Low,observed
fatalitiesThirdParty,float64,yfinance / calculated,96.8,Low,observed
totalAccidentsContractors,float64,yfinance / calculated,91.0,Low,observed
lostTimeIncidentRtCntrctr,float64,yfinance / calculated,86.7,Low,observed
totRecordableIncidRtCntrctr,float64,yfinance / calculated,86.7,Low,observed
fatalityRateWorkforce,float64,yfinance / calculated,94.6,Low,observed
accidentsPerEmployees1000,float64,yfinance / calculated,62.0,Low,observed
communitySpending,float64,yfinance / calculated,60.6,Low,observed
politicalDonations,float64,yfinance / calculated,65.9,Low,observed
ethicsPolicy,object,yfinance / calculated,3.9,Medium,observed
griCompliance,object,yfinance / calculated,4.7,Medium,observed
verificationType,object,yfinance / calculated,3.9,Medium,observed
numberOfSites,float64,yfinance / calculated,64.5,Low,observed
environmentalAcctgCost,float64,esgEnvironmentalSocial,91.8,Low,reported
sustnbleEsgAum,float64,esgEnvironmentalSocial,89.2,Low,reported
unGlobalCompactSignatory,object,yfinance / calculated,3.9,Medium,observed
employeeCsrTraining,object,yfinance / calculated,4.3,Medium,observed
unPriSignatory,object,yfinance / calculated,68.5,Low,observed
empProtWhistleBlowerPolicy,object,yfinance / calculated,3.9,Medium,observed
antiBriberyEthicsPolicy,object,yfinance / calculated,3.9,Medium,observed
consistentReportingBasis,object,yfinance / calculated,67.7,Low,observed
equatorPrinciplesSignatory,object,yfinance / calculated,79.2,Low,observed
sriAssetsPctTotalAum,float64,yfinance / calculated,90.7,Low,observed
polDonationsPctPretaxProfit,float64,yfinance / calculated,67.0,Low,observed
noxIntensityPerPowerGen,float64,yfinance / calculated,94.6,Low,observed
so2SoxIntensityPerPowerGen,float64,yfinance / calculated,94.6,Low,observed
noxIntensityPerMboe,float64,yfinance / calculated,96.4,Low,observed
sulphurDioxideSulphurOxideEm,float64,yfinance / calculated,77.1,Low,observed
so2SoxIntensityPerMboe,float64,yfinance / calculated,96.4,Low,observed
noxIntensPerRevPsngrMiKms,float64,yfinance / calculated,100.0,Low,observed
so2SoxIntensRevPsgrMiKms,float64,yfinance / calculated,100.0,Low,observed
travelCo2PerEmployee,float64,yfinance / calculated,46.2,Low,observed
ghgIntensityPerEnergy,float64,esgEnvironmentalSocial,24.7,Low,reported
totGhgCo2EmissIntensityMboe,float64,esgEnvironmentalSocial,96.4,Low,reported
totGhgCo2EmIntensPerRpm,float64,esgEnvironmentalSocial,99.6,Low,reported
ghgIntensityPerMboe,float64,esgEnvironmentalSocial,96.8,Low,reported
co2IntensityPerMboe,float64,yfinance / calculated,99.3,Low,observed
co2IntensityPerVehicle,float64,yfinance / calculated,99.6,Low,observed
ghgCo2IntensityPerPowerGen,float64,esgEnvironmentalSocial,94.3,Low,reported
ghgIntensityPerPowerGen,float64,esgEnvironmentalSocial,94.3,Low,reported
ghgIntensityPerVehicle,float64,esgEnvironmentalSocial,99.6,Low,reported
gasFlaringPerMboe,float64,yfinance / calculated,96.8,Low,observed
ghgScopeIntensPerPwrGen1,float64,esgEnvironmentalSocial,93.9,Low,reported
totGhgCo2EmIntensPerVehSld,float64,esgEnvironmentalSocial,99.6,Low,reported
totGhgCo2EmIntensPerElecSld,float64,esgEnvironmentalSocial,97.8,Low,reported
co2IntensityPerKwhSold,float64,yfinance / calculated,100.0,Low,observed
totGhgCo2EmIntensPsfMeter,float64,esgEnvironmentalSocial,98.6,Low,reported
co2IntensityPerPowerGen,float64,yfinance / calculated,99.3,Low,observed
embeddedCarbonCoalReserves,float64,esgEnvironmentalSocial,99.6,Low,reported
embeddedCarbonOilReserves,float64,esgEnvironmentalSocial,96.8,Low,reported
embeddedCarbonGasReserves,float64,esgEnvironmentalSocial,96.8,Low,reported
ghgIntensityPerElecSold,float64,esgEnvironmentalSocial,97.8,Low,reported
co2IntensityPerSqFt,float64,yfinance / calculated,100.0,Low,observed
co2IntensityPerRpm,float64,yfinance / calculated,100.0,Low,observed
ghgIntensityPerSqFt,float64,esgEnvironmentalSocial,98.6,Low,reported
co2EmMilMtUnderEuEts,float64,yfinance / calculated,94.3,Low,observed
co2EmLesAllowMilMtUndEuEts,float64,yfinance / calculated,95.0,Low,observed
co2AllowMilMtUnderEuEts,float64,yfinance / calculated,93.9,Low,observed
co2IntensityPerGwhSold,float64,yfinance / calculated,100.0,Low,observed
ghgIntensityPerGwhSold,float64,esgEnvironmentalSocial,99.6,Low,reported
energyIntensityPerMboeProd,float64,esgEnvironmentalSocial,96.4,Low,reported
energyIntensityPerSqFt,float64,esgEnvironmentalSocial,98.6,Low,reported
nuclearEnergyProduction,float64,esgEnvironmentalSocial,97.1,Low,reported
co2IntensityPerEnergyConsmd,float64,esgEnvironmentalSocial,91.8,Low,reported
energyIntensityPerVehicle,float64,esgEnvironmentalSocial,99.3,Low,reported
gasEnergyProduction,float64,esgEnvironmentalSocial,95.3,Low,reported
coalPctEnergyCapacity,float64,esgEnvironmentalSocial,97.1,Low,reported
electricityProdThermOilGwh,float64,yfinance / calculated,97.8,Low,observed
fossilFuelsPctEnergyProduction,float64,esgEnvironmentalSocial,95.3,Low,reported
hydroPctEnergyProduction,float64,esgEnvironmentalSocial,94.6,Low,reported
totalRenewablesEnergyCapacity,float64,esgEnvironmentalSocial,94.3,Low,reported
enrgyIntensRevPsngrMiKms,float64,yfinance / calculated,99.6,Low,observed
biomassFuelUsePercentage,float64,yfinance / calculated,89.6,Low,observed
renewableEnergyCertificates,float64,esgEnvironmentalSocial,96.8,Low,reported
alternativeFuelUsePct,float64,yfinance / calculated,97.8,Low,observed
coalPctEnergyProduction,float64,esgEnvironmentalSocial,97.1,Low,reported
totRenewablesPctEnergyProd,float64,esgEnvironmentalSocial,93.5,Low,reported
gasPctEnergyProduction,float64,esgEnvironmentalSocial,95.3,Low,reported
windPctEnergyProduction,float64,esgEnvironmentalSocial,94.6,Low,reported
wastePctEnergyProduction,float64,esgEnvironmentalSocial,98.9,Low,reported
biomassPctEnergyProduction,float64,esgEnvironmentalSocial,97.1,Low,reported
solarPctEnergyCapacity,float64,esgEnvironmentalSocial,95.7,Low,reported
othRenewablesPctEnergyCapacity,float64,esgEnvironmentalSocial,98.2,Low,reported
selfGenRenewableElectricity,float64,yfinance / calculated,79.9,Low,observed
hydroPctEnergyCapacity,float64,esgEnvironmentalSocial,95.3,Low,reported
powerPurchaseAgreement,float64,yfinance / calculated,100.0,Low,observed
gasPctEnergyCapacity,float64,esgEnvironmentalSocial,95.3,Low,reported
windPctEnergyCapacity,float64,esgEnvironmentalSocial,95.3,Low,reported
hydroEnergyCapacity,float64,esgEnvironmentalSocial,95.0,Low,reported
nuclearEnergyCapacity,float64,esgEnvironmentalSocial,97.1,Low,reported
biomassPctEnergyCapacity,float64,esgEnvironmentalSocial,97.1,Low,reported
wastePctEnergyCapacity,float64,esgEnvironmentalSocial,99.3,Low,reported
windEnergyCapacity,float64,esgEnvironmentalSocial,94.6,Low,reported
fossilFuelsEnergyCapacity,float64,esgEnvironmentalSocial,95.0,Low,reported
solarEnergyCapacity,float64,esgEnvironmentalSocial,95.0,Low,reported
wasteEnergyCapacity,float64,esgEnvironmentalSocial,98.9,Low,reported
purchasedElectricityCoal,float64,yfinance / calculated,100.0,Low,observed
purchasedElectricityGas,float64,yfinance / calculated,100.0,Low,observed
purchasedElecFossilFuels,float64,yfinance / calculated,100.0,Low,observed
purchasedElectricityNuclear,float64,yfinance / calculated,100.0,Low,observed
purchasedElectricityHydro,float64,yfinance / calculated,100.0,Low,observed
purchasedElectricityWind,float64,yfinance / calculated,100.0,Low,observed
purchasedElectricitySolar,float64,yfinance / calculated,100.0,Low,observed
purchasedElectricityBiomass,float64,yfinance / calculated,100.0,Low,observed
purchasedElectricityWaste,float64,yfinance / calculated,100.0,Low,observed
purchasedElecOthRenewables,float64,yfinance / calculated,100.0,Low,observed
otherRenewablesEnergyCapacity,float64,esgEnvironmentalSocial,97.1,Low,reported
biomassEnergyCapacity,float64,esgEnvironmentalSocial,96.8,Low,reported
elecGenCapRenewGeothermalMw,float64,yfinance / calculated,98.9,Low,observed
coalEnergyCapacity,float64,esgEnvironmentalSocial,96.4,Low,reported
elecProdRenewGeothermalGwh,float64,yfinance / calculated,98.6,Low,observed
otherRenewablesPctEnergyProd,float64,esgEnvironmentalSocial,97.8,Low,reported
gasEnergyCapacity,float64,esgEnvironmentalSocial,95.3,Low,reported
elecGenCapThermCoalOrLcMw,float64,yfinance / calculated,96.8,Low,observed
electricityGenCapGeothermalPct,float64,yfinance / calculated,99.6,Low,observed
electricityGenCapThermOilMw,float64,yfinance / calculated,97.8,Low,observed
elecGenCapThermMultifuelMw,float64,yfinance / calculated,98.9,Low,observed
otherRenewablesEnergyProd,float64,esgEnvironmentalSocial,97.8,Low,reported
elecProdThermCoalOrLcGwh,float64,yfinance / calculated,97.1,Low,observed
elecGenCapThOthNonRenewMw,float64,yfinance / calculated,97.5,Low,observed
elecProdThermOthNonRenewGwh,float64,yfinance / calculated,97.8,Low,observed
elecGenCapThermCoalOrLigMw,float64,yfinance / calculated,98.9,Low,observed
